Number of cycles,Semicycle,1,2,3,4,5,6,7,8,9,10,11
36,0,  -1.375374891e-001,  -3.600207230e-002,  -1.213479974e-001,  3.726919408e-002,  -1.496896460e-002,  -2.508395168e-003,  -6.268181599e-002,  3.734508789e-002,  3.842967598e+001,  3.818040445e+001,  -3.391005927e-001
37,1,-2.664134894e-001,  -4.182506883e-002,  -1.047049947e-001,  2.971155652e-002,  -1.350127221e-002,  1.725460276e-002,  -2.381111208e-002,  6.215297057e-002,  3.828599376e+001,  3.803229988e+001,  -3.034943547e-001
37,0,  -2.549808534e-001,  -5.585803236e-002,  -1.365264094e-001,  2.867335026e-002,  -1.071308607e-002,  7.988398128e-002,  4.608542427e-003,  5.896561799e-002,  3.825656203e+001,  3.802303336e+001,  -3.387680154e-001
38,1,-2.965833728e-001,  -4.000902648e-002,  -4.692111682e-002,  1.825693085e-002,  -1.678348742e-002,  -5.528039548e-002,  -8.307609352e-002,  -4.377943599e-002,  3.823605080e+001,  3.802968912e+001,  -3.831803487e-001
38,0,  -2.124038866e-001,  -8.490558907e-002,  -1.491206211e-001,  -7.423843968e-003,  -1.359857937e-002,  2.060486324e-002,  -3.639537836e-002,  3.737869157e-002,  3.824908475e+001,  3.803687192e+001,  -3.385127244e-001
39,1,-2.655830290e-001,  -2.949389487e-002,  -1.796453667e-002,  1.893161051e-002,  -1.639945300e-002,  -1.288197307e-001,  -1.135457369e-001,  -2.991339644e-002,  3.824231272e+001,  3.803353424e+001,  -3.545185706e-001
39,0,  -1.410389787e-001,  -4.693044469e-002,  -1.339278806e-001,  2.426284744e-002,  -1.398813580e-002,  3.170437201e-002,  -4.614914778e-002,  2.770908330e-002,  3.825477326e+001,  3.805220129e+001,  -3.610038525e-001
40,1,-2.755259071e-001,  -3.559538683e-002,  -2.699678033e-002,  1.503550104e-002,  -1.727326569e-002,  -1.172591237e-001,  -1.184079774e-001,  -4.781693863e-002,  3.823396612e+001,  3.799722495e+001,  -3.704296221e-001
40,0,  -1.530310775e-001,  -4.845538793e-002,  -9.541947034e-002,  1.240322798e-002,  -1.599100302e-002,  -8.405228316e-002,  -9.897344192e-002,  3.395220185e-002,  3.823203814e+001,  3.796302849e+001,  -3.114497043e-001
41,1,-2.390698242e-001,  -2.484026006e-002,  -1.765796219e-002,  2.394049312e-002,  -1.654195165e-002,  -1.389499583e-001,  -1.201741809e-001,  -1.094685137e-002,  3.825232366e+001,  3.793329952e+001,  -3.308906056e-001
41,0,  -1.254665283e-001,  -3.010919808e-002,  -1.143943839e-001,  4.214866735e-002,  -1.498402107e-002,  4.693547563e-002,  -4.307969216e-002,  1.712633388e-002,  3.824205141e+001,  3.792388415e+001,  -3.742188284e-001
42,1,-2.673783087e-001,  -4.223965039e-002,  -9.857471874e-002,  2.813613668e-002,  -1.416024445e-002,  -3.992532445e-002,  -4.161903367e-002,  9.128421004e-002,  3.824991013e+001,  3.788404652e+001,  -2.765514791e-001
42,0,  -2.230201517e-001,  -2.107354377e-002,  -1.159918349e-001,  5.283835117e-002,  -1.476717827e-002,  7.627668418e-002,  -6.836461831e-003,  5.141207280e-002,  3.824300597e+001,  3.785982958e+001,  -3.434152974e-001
43,1,-2.870557495e-001,  -3.539271239e-002,  -3.005276600e-002,  1.813381635e-002,  -1.638572230e-002,  -9.121811817e-002,  -1.015711510e-001,  -4.500069049e-002,  3.821078450e+001,  3.779434247e+001,  -3.808946448e-001
43,0,  -1.842510902e-001,  -6.610801134e-002,  -1.274910548e-001,  2.553013849e-003,  -1.470793490e-002,  4.901707499e-002,  -4.205018795e-002,  -2.330965968e-002,  3.820296425e+001,  3.778511995e+001,  -3.987004893e-001
44,1,-2.664884371e-001,  -4.760786656e-002,  -9.979947751e-002,  2.285835929e-002,  -1.567233715e-002,  -3.712739214e-003,  -3.215185213e-002,  6.378203075e-002,  3.809051788e+001,  3.768902063e+001,  -3.117997303e-001
44,0,  -2.345300960e-001,  -4.543451262e-002,  -1.078082868e-001,  3.657929262e-002,  -1.281980569e-002,  4.418045903e-003,  -3.411661839e-002,  6.536508861e-002,  3.809396503e+001,  3.769291424e+001,  -3.040084510e-001
45,1,-2.475847003e-001,  -3.081313889e-002,  -7.347894525e-002,  3.111577177e-002,  -1.485597165e-002,  -3.513665183e-002,  -4.553325990e-002,  6.440606942e-002,  3.810141976e+001,  3.767309740e+001,  -2.978922333e-001
45,0,  -2.021586058e-001,  -1.542746875e-002,  -4.077820196e-002,  4.370331906e-002,  -1.414750803e-002,  -4.952032610e-002,  -8.798614446e-002,  -3.209849269e-002,  3.809221991e+001,  3.764616770e+001,  -3.829330323e-001
46,1,-2.501983822e-001,  -3.606868532e-002,  -3.206771563e-002,  1.730958380e-002,  -1.686790409e-002,  -1.258279601e-001,  -1.112562221e-001,  -7.119654289e-003,  3.801590433e+001,  3.760117150e+001,  -3.256816574e-001
46,0,  -1.288849536e-001,  -1.242306641e-002,  -2.036231088e-002,  3.689999267e-002,  -1.705916646e-002,  -1.898341547e-001,  -1.704797972e-001,  -1.632013304e-002,  3.800892370e+001,  3.761961856e+001,  -3.277767198e-001
47,1,-2.114975390e-001,  -2.313833083e-002,  -4.059699787e-002,  3.251524656e-002,  -1.274171872e-002,  -1.163150368e-001,  -1.025493215e-001,  3.548009055e-002,  3.802138311e+001,  3.757826091e+001,  -3.065061538e-001
47,0,  -1.431701116e-001,  -2.023847415e-002,  -1.061408102e-001,  5.282056675e-002,  -1.105135015e-002,  4.985887945e-002,  -3.649768975e-002,  2.793789184e-002,  3.801091430e+001,  3.759968068e+001,  -3.678369164e-001
48,1,-2.736414949e-001,  -4.666565624e-002,  -1.248445904e-001,  3.064851861e-002,  -1.331667223e-002,  1.132242393e-001,  2.012513900e-002,  3.857108377e-002,  3.795987567e+001,  3.759057445e+001,  -3.515630704e-001
48,0,  -3.267797304e-001,  -9.995297940e-002,  -1.703675015e-001,  -1.540511314e-003,  -7.410644360e-003,  9.000714716e-002,  1.861072975e-002,  5.504857780e-002,  3.795724436e+001,  3.757823507e+001,  -3.420932182e-001
49,1,-2.974961190e-001,  -4.005542757e-002,  -6.087731582e-002,  2.127873329e-002,  -1.425852600e-002,  -1.977525516e-002,  -6.423869869e-002,  -4.061127459e-002,  3.789466301e+001,  3.754695269e+001,  -3.960333864e-001
49,0,  -2.371885149e-001,  -9.063122445e-002,  -1.534215997e-001,  -1.258579066e-002,  -1.222792095e-002,  4.377096211e-002,  -1.560694377e-002,  4.437353128e-002,  3.788027229e+001,  3.754742317e+001,  -3.415059348e-001
50,1,-2.635493336e-001,  -4.258800117e-002,  -1.235220845e-001,  3.337638647e-002,  -1.064905069e-002,  1.079582197e-001,  2.192657602e-002,  4.064194290e-002,  3.786242103e+001,  3.752495707e+001,  -3.619324314e-001
50,0,  -3.235230652e-001,  -7.352208716e-002,  -6.464637304e-002,  -6.408987982e-003,  -8.261278932e-003,  -1.091819628e-001,  -9.419653999e-002,  -1.658939159e-002,  3.786446141e+001,  3.750082792e+001,  -3.398019299e-001
51,1,-2.464899617e-001,  -3.650588639e-002,  -3.364369278e-002,  2.189125317e-002,  -1.478231602e-002,  -9.765652318e-002,  -1.113778863e-001,  -5.143747199e-002,  3.788087894e+001,  3.740153742e+001,  -3.848193788e-001
51,0,  -1.564607926e-001,  -4.734426635e-002,  -4.691298869e-002,  -3.782476106e-003,  -1.584673532e-002,  -1.664092286e-001,  -1.446815200e-001,  -2.435884230e-002,  3.787253139e+001,  3.739608360e+001,  -3.268065781e-001
52,1,-2.058922251e-001,  -2.086562669e-002,  -2.202795964e-002,  2.738861443e-002,  -1.392394879e-002,  -1.178709069e-001,  -1.293548835e-001,  -5.438852378e-002,  3.784810613e+001,  3.736871846e+001,  -3.816156179e-001
52,0,  -1.398170974e-001,  -5.347428764e-002,  -1.348821569e-001,  1.088076376e-002,  -9.710143814e-003,  6.221404728e-002,  -2.388074212e-002,  1.727846732e-002,  3.784931440e+001,  3.737970066e+001,  -3.750745090e-001
53,1,-2.495810942e-001,  -2.590175167e-002,  -2.273494029e-002,  1.964112820e-002,  -1.656579498e-002,  -1.206840475e-001,  -1.056837598e-001,  -5.132195554e-003,  3.783204100e+001,  3.736130546e+001,  -3.395209483e-001
53,0,  -1.382993659e-001,  -2.946479570e-002,  -1.073518189e-001,  4.264541823e-002,  -1.474602094e-002,  -5.826852078e-003,  -6.818710666e-002,  3.772003376e-002,  3.781585674e+001,  3.733263413e+001,  -3.348419760e-001
54,1,-2.370779374e-001,  -1.860901543e-002,  -9.256958932e-003,  2.280370523e-002,  -1.622245623e-002,  -1.282691872e-001,  -1.165146064e-001,  -2.900956697e-002,  3.775927195e+001,  3.725688993e+001,  -3.586327313e-001
54,0,  -1.291625700e-001,  -1.834914162e-002,  -2.566068021e-002,  2.378779612e-002,  -1.573270000e-002,  -1.782449346e-001,  -1.598135158e-001,  -1.382218470e-002,  3.774787500e+001,  3.729661996e+001,  -3.282148683e-001
55,1,-2.132232711e-001,  -3.235131660e-002,  -1.085868125e-001,  4.116539049e-002,  -8.654919187e-003,  7.856449279e-002,  -8.025272851e-003,  2.407348775e-002,  3.769852014e+001,  3.730114652e+001,  -3.620625825e-001
55,0,  -2.834882308e-001,  -8.561284600e-002,  -1.537035714e-001,  1.368409555e-004,  -7.252456562e-003,  7.061279922e-002,  7.065571336e-003,  5.757407875e-002,  3.769417207e+001,  3.731879690e+001,  -3.334587591e-001
56,1,-2.964174252e-001,  -4.730976914e-002,  -9.852130646e-002,  2.691940937e-002,  -1.332454392e-002,  6.807033298e-002,  -7.026244199e-003,  -4.320804295e-003,  3.752804674e+001,  3.716767545e+001,  -3.735677673e-001
56,0,  -2.952257735e-001,  -1.087523836e-001,  -1.799370967e-001,  -1.208837825e-002,  -9.313988194e-003,  1.188613400e-001,  3.186174251e-002,  3.751650530e-002,  3.747179533e+001,  3.709602591e+001,  -3.797405600e-001
57,1,-3.014545831e-001,  -4.815021127e-002,  -7.268615421e-002,  1.976414791e-002,  -1.399959457e-002,  -8.177560033e-002,  -7.021637382e-002,  4.274231691e-002,  3.736828974e+001,  3.702210101e+001,  -3.053410572e-001
57,0,  -1.950459854e-001,  -2.960567225e-002,  -7.008460991e-002,  4.538741012e-002,  -1.368369911e-002,  -1.091133495e-001,  -1.085649611e-001,  4.983245091e-002,  3.732931006e+001,  3.698057053e+001,  -2.857470326e-001
58,1,-2.400411095e-001,  -3.433893849e-002,  -9.679435242e-002,  3.647345031e-002,  -1.141492880e-002,  1.673962250e-003,  -3.814469002e-002,  5.788793535e-002,  3.731186847e+001,  3.703092303e+001,  -2.934628323e-001
