Number of cycles,Semicycle,Time Stamp,1,2,3,4,5,6,7,8,9,10
22,1,1563274151109139500,1.261025256e+000,  1.235067611e+000,  1.223244212e+000,  1.227831493e+000,  1.198918815e+000,  1.040445444e+000,  1.010973760e+000,  9.773886085e-001,  9.568021720e-001,  9.131383968e-001
22,0,1563274152139198400,  5.590252052e-001,  5.492513336e-001,  5.512459132e-001,  5.504919430e-001,  5.463782126e-001,  5.361519849e-001,  5.759413802e-001,  6.257196345e-001,  6.471479829e-001,  6.803305172e-001
23,1,1563274154183315300,1.260997436e+000,  1.235036653e+000,  1.223212077e+000,  1.227805246e+000,  1.198893642e+000,  1.026749245e+000,  9.986865766e-001,  9.649953049e-001,  9.446754147e-001,  9.018032959e-001
23,0,1563274155242375900,  5.592752172e-001,  5.495103752e-001,  5.514533988e-001,  5.505425370e-001,  5.464783999e-001,  5.574218273e-001,  5.947135125e-001,  6.420462658e-001,  6.624839304e-001,  6.950315668e-001
24,1,1563274157348496400,1.261025105e+000,  1.235061700e+000,  1.223233982e+000,  1.227802682e+000,  1.198905835e+000,  1.050366741e+000,  1.021200856e+000,  9.884383693e-001,  9.676514658e-001,  9.253222523e-001
24,0,1563274158378555300,  5.590623879e-001,  5.492666636e-001,  5.512174078e-001,  5.504487821e-001,  5.463972064e-001,  5.360852701e-001,  5.764455749e-001,  6.262952763e-001,  6.494061224e-001,  6.828065267e-001
25,1,1563274160422672200,1.260968762e+000,  1.234998948e+000,  1.223174240e+000,  1.227759820e+000,  1.198861666e+000,  1.023578770e+000,  9.971825010e-001,  9.634513170e-001,  9.451638202e-001,  9.027229870e-001
25,0,1563274161482732800,  5.592870817e-001,  5.494984231e-001,  5.514095191e-001,  5.504809921e-001,  5.464660548e-001,  5.571460784e-001,  5.944553037e-001,  6.415174623e-001,  6.621082271e-001,  6.948854251e-001
26,1,1563274163541850600,1.260942508e+000,  1.234968105e+000,  1.223147581e+000,  1.227725049e+000,  1.198836437e+000,  1.025196328e+000,  9.983143273e-001,  9.668653239e-001,  9.473834023e-001,  9.059872780e-001
26,0,1563274164555908600,  5.589084170e-001,  5.489438904e-001,  5.510247022e-001,  5.500634619e-001,  5.461843481e-001,  5.358942610e-001,  5.767371612e-001,  6.247421237e-001,  6.490210946e-001,  6.817328342e-001
27,1,1563274166584024600,1.260993971e+000,  1.235011193e+000,  1.223188051e+000,  1.227731105e+000,  1.198856363e+000,  1.025217034e+000,  9.973330971e-001,  9.630990355e-001,  9.435565288e-001,  9.008010317e-001
27,0,1563274167614083500,  5.588933342e-001,  5.489978981e-001,  5.510713821e-001,  5.500384348e-001,  5.462051195e-001,  5.355103072e-001,  5.755144423e-001,  6.241031335e-001,  6.470352413e-001,  6.804703298e-001
28,1,1563274169647199800,1.260965166e+000,  1.234978855e+000,  1.223156106e+000,  1.227700861e+000,  1.198828867e+000,  1.037017396e+000,  1.007857913e+000,  9.732208282e-001,  9.527937614e-001,  9.093330514e-001
28,0,1563274170688259400,  5.588750626e-001,  5.489747842e-001,  5.509916094e-001,  5.501401540e-001,  5.462126248e-001,  5.717798386e-001,  6.075120434e-001,  6.539732110e-001,  6.730021299e-001,  7.060059313e-001
29,1,1563274172761377900,1.260679106e+000,  1.234702091e+000,  1.222898579e+000,  1.227560577e+000,  1.198651559e+000,  1.023294706e+000,  9.991454255e-001,  9.674951780e-001,  9.481743394e-001,  9.074880964e-001
29,0,1563274173823438700,  5.586692081e-001,  5.488783248e-001,  5.507733260e-001,  5.499794459e-001,  5.460176345e-001,  5.439033250e-001,  5.831338540e-001,  6.314031253e-001,  6.536553207e-001,  6.858425963e-001
30,1,1563274175855554900,1.260866387e+000,  1.234875501e+000,  1.223059297e+000,  1.227618707e+000,  1.198744756e+000,  1.021984379e+000,  9.958351541e-001,  9.630964777e-001,  9.450793183e-001,  9.030807769e-001
30,0,1563274176895614400,  5.585782124e-001,  5.487195463e-001,  5.507664672e-001,  5.498633254e-001,  5.459165614e-001,  5.366624323e-001,  5.775042810e-001,  6.244930398e-001,  6.481159151e-001,  6.816823773e-001
31,1,1563274178923730400,1.260875352e+000,  1.234887736e+000,  1.223061063e+000,  1.227614192e+000,  1.198743249e+000,  1.028475614e+000,  1.000933860e+000,  9.669629475e-001,  9.477948119e-001,  9.030541122e-001
31,0,1563274179953789300,  5.586974071e-001,  5.488023643e-001,  5.508477150e-001,  5.499237676e-001,  5.460446544e-001,  5.343069508e-001,  5.748634101e-001,  6.230488113e-001,  6.461624095e-001,  6.801749461e-001
32,1,1563274181997906200,1.260780693e+000,  1.234798969e+000,  1.222980149e+000,  1.227558925e+000,  1.198685500e+000,  1.016170395e+000,  9.902294888e-001,  9.561510205e-001,  9.388534183e-001,  8.949446825e-001
32,0,1563274183027965100,  5.586542458e-001,  5.488008159e-001,  5.508210425e-001,  5.499300701e-001,  5.460034583e-001,  5.599034914e-001,  5.966397126e-001,  6.422108078e-001,  6.624421205e-001,  6.949863578e-001
33,1,1563274185055081100,1.261253677e+000,  1.235236886e+000,  1.223392811e+000,  1.227750054e+000,  1.198955665e+000,  1.019379766e+000,  9.937771143e-001,  9.626755328e-001,  9.447561221e-001,  9.020024198e-001
33,0,1563274186077139600,  5.587937651e-001,  5.490053683e-001,  5.509979852e-001,  5.500633081e-001,  5.461586792e-001,  5.321985840e-001,  5.729561574e-001,  6.211983417e-001,  6.452760552e-001,  6.784676207e-001
34,1,1563274188176259600,1.260666314e+000,  1.234683415e+000,  1.222871924e+000,  1.227495581e+000,  1.198622291e+000,  1.025020720e+000,  9.978045327e-001,  9.635549141e-001,  9.444651637e-001,  9.015688360e-001
34,0,1563274189220319300,  5.586790406e-001,  5.486519711e-001,  5.508082837e-001,  5.498596056e-001,  5.460635847e-001,  5.343296796e-001,  5.748719939e-001,  6.230633990e-001,  6.459824126e-001,  6.782537605e-001
35,1,1563274191305438600,1.260607482e+000,  1.234611372e+000,  1.222811790e+000,  1.227450887e+000,  1.198587023e+000,  1.025887444e+000,  9.980887083e-001,  9.642544198e-001,  9.446222908e-001,  9.014133646e-001
35,0,1563274192339497700,  5.585157841e-001,  5.486276811e-001,  5.506612540e-001,  5.497739457e-001,  5.459302952e-001,  5.337272870e-001,  5.736901820e-001,  6.219548571e-001,  6.445518403e-001,  6.778805279e-001
36,1,1563274194383614700,1.260713304e+000,  1.234711175e+000,  1.222900864e+000,  1.227483302e+000,  1.198641945e+000,  1.022666359e+000,  9.948093948e-001,  9.609450112e-001,  9.416169829e-001,  8.984037397e-001
36,0,1563274195441675200,  5.589865018e-001,  5.490463189e-001,  5.509756029e-001,  5.500271866e-001,  5.462744780e-001,  5.338541234e-001,  5.739289001e-001,  6.220373414e-001,  6.449780748e-001,  6.776099774e-001
37,1,1563274197488792300,1.260729416e+000,  1.234721925e+000,  1.222912400e+000,  1.227477041e+000,  1.198652567e+000,  1.044290745e+000,  1.013751840e+000,  9.794720053e-001,  9.577985870e-001,  9.150842874e-001
37,0,1563274198532852000,  5.583923820e-001,  5.484078435e-001,  5.505307880e-001,  5.496969984e-001,  5.458755937e-001,  5.380278698e-001,  5.781638720e-001,  6.277462153e-001,  6.508536466e-001,  6.851329661e-001
38,1,1563274200560968000,1.260688366e+000,  1.234676035e+000,  1.222870829e+000,  1.227440181e+000,  1.198622775e+000,  1.026098178e+000,  9.992161974e-001,  9.646198333e-001,  9.469279823e-001,  9.048985650e-001
38,0,1563274201592027000,  5.580519784e-001,  5.483004861e-001,  5.501503425e-001,  5.494377219e-001,  5.456362062e-001,  5.425500590e-001,  5.821774441e-001,  6.289155924e-001,  6.506167592e-001,  6.843169318e-001
39,1,1563274203622143100,1.260735691e+000,  1.234708703e+000,  1.222904150e+000,  1.227444584e+000,  1.198639999e+000,  1.023875728e+000,  9.975056379e-001,  9.652341197e-001,  9.467099176e-001,  9.037629627e-001
39,0,1563274204665202700,  5.581192686e-001,  5.481748998e-001,  5.502847594e-001,  5.494567272e-001,  5.456715678e-001,  5.690952754e-001,  6.051642691e-001,  6.515224242e-001,  6.713368352e-001,  7.035528844e-001
